categoria,n,acima_do_limiar,ferramenta,nivel,acertos,base,nao_se_aplica,taxa,wilson_inf,wilson_sup
CWE-444,1,nao,codeql,2e,0,1,0,,,
CWE-444,1,nao,codeql,3,0,1,0,,,
CWE-444,1,nao,codeql,4g,0,1,0,,,
CWE-444,1,nao,codeql,4e,0,1,0,,,
CWE-444,1,nao,semgrep,0,1,1,0,,,
CWE-444,1,nao,semgrep,1,0,1,0,,,
CWE-444,1,nao,semgrep,2g,0,1,0,,,
CWE-444,1,nao,semgrep,2e,0,1,0,,,
CWE-444,1,nao,semgrep,3,0,1,0,,,
CWE-444,1,nao,semgrep,4g,0,1,0,,,
CWE-444,1,nao,semgrep,4e,0,1,0,,,
CWE-444,1,nao,snyk-code,0,1,1,0,,,
CWE-444,1,nao,snyk-code,1,0,1,0,,,
CWE-444,1,nao,snyk-code,2g,0,1,0,,,
CWE-444,1,nao,snyk-code,2e,0,1,0,,,
CWE-444,1,nao,snyk-code,3,0,1,0,,,
CWE-444,1,nao,snyk-code,4g,0,1,0,,,
CWE-444,1,nao,snyk-code,4e,0,1,0,,,
CWE-502,1,nao,codeql,0,1,1,0,,,
CWE-502,1,nao,codeql,1,1,1,0,,,
CWE-502,1,nao,codeql,2g,0,1,0,,,
CWE-502,1,nao,codeql,2e,0,1,0,,,
CWE-502,1,nao,codeql,3,1,1,0,,,
CWE-502,1,nao,codeql,4g,0,1,0,,,
CWE-502,1,nao,codeql,4e,0,1,0,,,
CWE-502,1,nao,semgrep,0,0,1,0,,,
CWE-502,1,nao,semgrep,1,0,1,0,,,
CWE-502,1,nao,semgrep,2g,0,1,0,,,
CWE-502,1,nao,semgrep,2e,0,1,0,,,
CWE-502,1,nao,semgrep,3,0,1,0,,,
CWE-502,1,nao,semgrep,4g,0,1,0,,,
CWE-502,1,nao,semgrep,4e,0,1,0,,,
CWE-502,1,nao,snyk-code,0,0,1,0,,,
CWE-502,1,nao,snyk-code,1,0,1,0,,,
CWE-502,1,nao,snyk-code,2g,0,1,0,,,
CWE-502,1,nao,snyk-code,2e,0,1,0,,,
CWE-502,1,nao,snyk-code,3,0,1,0,,,
CWE-502,1,nao,snyk-code,4g,0,1,0,,,
CWE-502,1,nao,snyk-code,4e,0,1,0,,,
CWE-668,1,nao,codeql,0,1,1,0,,,
CWE-668,1,nao,codeql,1,1,1,0,,,
CWE-668,1,nao,codeql,2g,0,1,0,,,
CWE-668,1,nao,codeql,2e,0,1,0,,,
CWE-668,1,nao,codeql,3,0,1,0,,,
CWE-668,1,nao,codeql,4g,0,1,0,,,
CWE-668,1,nao,codeql,4e,0,1,0,,,
CWE-668,1,nao,semgrep,0,1,1,0,,,
CWE-668,1,nao,semgrep,1,1,1,0,,,
CWE-668,1,nao,semgrep,2g,0,1,0,,,
CWE-668,1,nao,semgrep,2e,0,1,0,,,
CWE-668,1,nao,semgrep,3,0,1,0,,,
CWE-668,1,nao,semgrep,4g,0,1,0,,,
CWE-668,1,nao,semgrep,4e,0,1,0,,,
CWE-668,1,nao,snyk-code,0,0,1,0,,,
CWE-668,1,nao,snyk-code,1,0,1,0,,,
CWE-668,1,nao,snyk-code,2g,0,1,0,,,
CWE-668,1,nao,snyk-code,2e,0,1,0,,,
CWE-668,1,nao,snyk-code,3,0,1,0,,,
CWE-668,1,nao,snyk-code,4g,0,1,0,,,
CWE-668,1,nao,snyk-code,4e,0,1,0,,,
CWE-754,1,nao,codeql,0,1,1,0,,,
CWE-754,1,nao,codeql,1,0,1,0,,,
CWE-754,1,nao,codeql,2g,0,1,0,,,
CWE-754,1,nao,codeql,2e,0,1,0,,,
CWE-754,1,nao,codeql,3,0,1,0,,,
CWE-754,1,nao,codeql,4g,0,1,0,,,
CWE-754,1,nao,codeql,4e,0,1,0,,,
CWE-754,1,nao,semgrep,0,1,1,0,,,
CWE-754,1,nao,semgrep,1,0,1,0,,,
CWE-754,1,nao,semgrep,2g,0,1,0,,,
CWE-754,1,nao,semgrep,2e,0,1,0,,,
CWE-754,1,nao,semgrep,3,0,1,0,,,
CWE-754,1,nao,semgrep,4g,0,1,0,,,
CWE-754,1,nao,semgrep,4e,0,1,0,,,
CWE-754,1,nao,snyk-code,0,1,1,0,,,
CWE-754,1,nao,snyk-code,1,0,1,0,,,
CWE-754,1,nao,snyk-code,2g,0,1,0,,,
CWE-754,1,nao,snyk-code,2e,0,1,0,,,
CWE-754,1,nao,snyk-code,3,0,1,0,,,
CWE-754,1,nao,snyk-code,4g,0,1,0,,,
CWE-754,1,nao,snyk-code,4e,0,1,0,,,
CWE-807,1,nao,codeql,0,0,1,0,,,
CWE-807,1,nao,codeql,1,0,1,0,,,
CWE-807,1,nao,codeql,2g,0,1,0,,,
CWE-807,1,nao,codeql,2e,0,1,0,,,
CWE-807,1,nao,codeql,3,0,1,0,,,
CWE-807,1,nao,codeql,4g,0,1,0,,,
CWE-807,1,nao,codeql,4e,0,1,0,,,
CWE-807,1,nao,semgrep,0,1,1,0,,,
CWE-807,1,nao,semgrep,1,1,1,0,,,
CWE-807,1,nao,semgrep,2g,0,1,0,,,
CWE-807,1,nao,semgrep,2e,0,1,0,,,
CWE-807,1,nao,semgrep,3,0,1,0,,,
CWE-807,1,nao,semgrep,4g,0,1,0,,,
CWE-807,1,nao,semgrep,4e,0,1,0,,,
CWE-807,1,nao,snyk-code,0,0,1,0,,,
CWE-807,1,nao,snyk-code,1,0,1,0,,,
CWE-807,1,nao,snyk-code,2g,0,1,0,,,
CWE-807,1,nao,snyk-code,2e,0,1,0,,,
CWE-807,1,nao,snyk-code,3,0,1,0,,,
CWE-807,1,nao,snyk-code,4g,0,1,0,,,
CWE-807,1,nao,snyk-code,4e,0,1,0,,,
CWE-829,1,nao,codeql,0,1,1,0,,,
CWE-829,1,nao,codeql,1,1,1,0,,,
CWE-829,1,nao,codeql,2g,1,1,0,,,
CWE-829,1,nao,codeql,2e,1,1,0,,,
CWE-829,1,nao,codeql,3,1,1,0,,,
CWE-829,1,nao,codeql,4g,1,1,0,,,
CWE-829,1,nao,codeql,4e,1,1,0,,,
CWE-829,1,nao,semgrep,0,1,1,0,,,
CWE-829,1,nao,semgrep,1,0,1,0,,,
CWE-829,1,nao,semgrep,2g,0,1,0,,,
CWE-829,1,nao,semgrep,2e,0,1,0,,,
CWE-829,1,nao,semgrep,3,0,1,0,,,
CWE-829,1,nao,semgrep,4g,0,1,0,,,
CWE-829,1,nao,semgrep,4e,0,1,0,,,
CWE-829,1,nao,snyk-code,0,0,1,0,,,
CWE-829,1,nao,snyk-code,1,0,1,0,,,
CWE-829,1,nao,snyk-code,2g,0,1,0,,,
CWE-829,1,nao,snyk-code,2e,0,1,0,,,
CWE-829,1,nao,snyk-code,3,0,1,0,,,
CWE-829,1,nao,snyk-code,4g,0,1,0,,,
CWE-829,1,nao,snyk-code,4e,0,1,0,,,
SEM_PRIMARIO,1,nao,codeql,0,0,1,0,,,
SEM_PRIMARIO,1,nao,codeql,1,0,1,0,,,
SEM_PRIMARIO,1,nao,codeql,2g,0,1,0,,,
SEM_PRIMARIO,1,nao,codeql,2e,0,0,1,,,
SEM_PRIMARIO,1,nao,codeql,3,0,1,0,,,
SEM_PRIMARIO,1,nao,codeql,4g,0,1,0,,,
SEM_PRIMARIO,1,nao,codeql,4e,0,0,1,,,
SEM_PRIMARIO,1,nao,semgrep,0,0,1,0,,,
SEM_PRIMARIO,1,nao,semgrep,1,0,1,0,,,
SEM_PRIMARIO,1,nao,semgrep,2g,0,1,0,,,
SEM_PRIMARIO,1,nao,semgrep,2e,0,0,1,,,
SEM_PRIMARIO,1,nao,semgrep,3,0,1,0,,,
SEM_PRIMARIO,1,nao,semgrep,4g,0,1,0,,,
SEM_PRIMARIO,1,nao,semgrep,4e,0,0,1,,,
SEM_PRIMARIO,1,nao,snyk-code,0,0,1,0,,,
SEM_PRIMARIO,1,nao,snyk-code,1,0,1,0,,,
SEM_PRIMARIO,1,nao,snyk-code,2g,0,1,0,,,
SEM_PRIMARIO,1,nao,snyk-code,2e,0,0,1,,,
SEM_PRIMARIO,1,nao,snyk-code,3,0,1,0,,,
SEM_PRIMARIO,1,nao,snyk-code,4g,0,1,0,,,
SEM_PRIMARIO,1,nao,snyk-code,4e,0,0,1,,,
